"mean","sd","min","max","median","q2.5.2.5%","q97.5.97.5%","succession","plant.type","PFT","region","measure"
0.0581943944233628,0.00704755502093866,0.0439661767170321,0.123722397612715,0.0568136288351626,0.0484421482516982,0.075343083134412,"early","hardwood","early hardwood","PAR","refl"
0.264218224305571,0.0178872787448142,0.206572866413983,0.352876459558956,0.262921428378861,0.232506214398719,0.303847781827554,"early","hardwood","early hardwood","NIR","refl"
0.0497902949772201,0.0215782793097042,0.00901348991907675,0.169871596439634,0.0453751894992097,0.0207960317343407,0.103120046445321,"early","hardwood","early hardwood","PAR","trans"
0.354586711487313,0.0573279874104333,0.186718106343389,0.56071745872732,0.349409107170546,0.255778419874137,0.47829890445846,"early","hardwood","early hardwood","NIR","trans"
0.0546574717146142,0.00904811651650492,0.0401101370729533,0.160177102567045,0.0526572334121049,0.0440378841281726,0.0782094407105125,"mid","hardwood","mid hardwood","PAR","refl"
0.255582451830461,0.0203642442311837,0.187621027921359,0.350229740367859,0.25395148775655,0.22006806482939,0.300453635718846,"mid","hardwood","mid hardwood","NIR","refl"
0.050319186638255,0.0243121976714197,0.00975166954347625,0.26311363127957,0.0453645257253698,0.0189373606050054,0.111833669693551,"mid","hardwood","mid hardwood","PAR","trans"
0.372474728262692,0.0593015740105494,0.202079499319375,0.58597943263161,0.367930479512991,0.266191999550518,0.49515220405048,"mid","hardwood","mid hardwood","NIR","trans"
0.060578706451752,0.0095097572010769,0.0430095022009948,0.228390515117262,0.0588334681801777,0.0479009825876644,0.082452858202598,"late","hardwood","late hardwood","PAR","refl"
0.271960438164154,0.0178535564519562,0.219043745529656,0.354026667705302,0.270749317812142,0.240650908267363,0.311223914108705,"late","hardwood","late hardwood","NIR","refl"
0.0640597496493647,0.0218830888534931,0.0216628919847105,0.350090502593482,0.0604018973522369,0.0326000392529159,0.11375892917402,"late","hardwood","late hardwood","PAR","trans"
0.404830190448424,0.0557144970959624,0.245754485096765,0.597548999156568,0.401206555297001,0.305330553406105,0.5207711615995,"late","hardwood","late hardwood","NIR","trans"
0.0840235046639919,0.0344757534636604,0.0393007609560175,0.483527883335066,0.0765658253565479,0.0491975026279079,0.169314284980295,"early","conifer","early conifer","PAR","refl"
0.249414760696201,0.0372666200932125,0.112379756125091,0.462576900573156,0.249999054834744,0.171879066064077,0.325893146730681,"early","conifer","early conifer","NIR","refl"
0.0151318445360892,0.0327166512884067,1.36895051769955e-06,0.511647024370976,0.00398344654173476,7.8226577170061e-05,0.101643300436488,"early","conifer","early conifer","PAR","trans"
0.0967775145795016,0.0706516197153859,0.00444855977159693,0.535775192714902,0.0759938516477189,0.0170791232060241,0.288453877069788,"early","conifer","early conifer","NIR","trans"
0.0749918037799819,0.0218373540094678,0.0406550999638378,0.362797778214946,0.0706725931946819,0.049474121545086,0.128635880000823,"mid","conifer","mid conifer","PAR","refl"
0.232327587844972,0.0331333316823385,0.130967849932375,0.444917417578634,0.232584332943298,0.16720103529095,0.301300006458043,"mid","conifer","mid conifer","NIR","refl"
0.0306557501507843,0.0361726764078957,0.000405351876996919,0.429339955828617,0.0194914500376878,0.00200087405877391,0.127545631929618,"mid","conifer","mid conifer","PAR","trans"
0.168476229074463,0.0744598037615232,0.0310532786556544,0.542094489373703,0.155342550767923,0.0602335517870356,0.343613737651941,"mid","conifer","mid conifer","NIR","trans"
0.0684871565848938,0.0186850304236995,0.0396778555341775,0.314864067168301,0.0645873832856845,0.0460802535913568,0.113949422506582,"late","conifer","late conifer","PAR","refl"
0.246787940498803,0.0246426191405138,0.155840953278503,0.373527685345096,0.247765104602176,0.196540703264843,0.292928003589608,"late","conifer","late conifer","NIR","refl"
0.0327791720677773,0.0275917710311452,0.0021389849412401,0.408206124289512,0.0253281136705244,0.00593745028848758,0.107538841421916,"late","conifer","late conifer","PAR","trans"
0.221316763453182,0.0696370430786304,0.0743774434691876,0.51539704813411,0.210139230171266,0.113759187907954,0.378545156963463,"late","conifer","late conifer","NIR","trans"
